Unnamed: 0,id,overall
0,0,6
1,1,6
2,2,6
3,3,6
4,4,3
5,5,4
6,6,6
7,7,5
8,8,5
9,9,4
10,10,6
11,11,6
12,12,6
13,13,6
14,14,6
15,15,6
16,16,6
17,17,6
18,18,6
19,19,3
20,20,6
21,21,6
22,22,6
23,23,6
24,24,6
25,25,6
26,26,6
27,27,6
28,28,6
29,29,6
30,30,6
31,31,6
32,32,6
33,33,6
34,34,5
35,35,6
36,36,6
37,37,6
38,38,6
39,39,6
40,40,6
41,41,6
42,42,6
43,43,6
44,44,6
45,45,6
46,46,6
47,47,6
48,48,6
49,49,6
50,50,6
51,51,2
52,52,4
53,53,6
54,54,6
55,55,6
56,56,6
57,57,6
58,58,6
59,59,6
60,60,4
61,61,6
62,62,6
63,63,6
64,64,6
65,65,6
66,66,5
67,67,5
68,68,6
69,69,6
70,70,6
71,71,6
72,72,6
73,73,6
74,74,5
75,75,6
76,76,6
77,77,5
78,78,6
79,79,5
80,80,6
81,81,6
82,82,6
83,83,6
84,84,6
85,85,2
86,86,6
87,87,4
88,88,6
89,89,5
90,90,6
91,91,6
92,92,6
93,93,5
94,94,6
95,95,4
96,96,4
97,97,6
98,98,4
99,99,6
100,100,6
101,101,6
102,102,6
103,103,5
104,104,5
105,105,6
106,106,6
107,107,6
108,108,6
109,109,6
110,110,6
111,111,6
112,112,6
113,113,6
114,114,6
115,115,6
116,116,6
117,117,6
118,118,6
119,119,6
120,120,6
121,121,6
122,122,6
123,123,6
124,124,6
125,125,6
126,126,6
127,127,6
128,128,6
129,129,6
130,130,5
131,131,6
132,132,6
133,133,6
134,134,6
135,135,6
136,136,6
137,137,6
138,138,6
139,139,5
140,140,6
141,141,6
142,142,6
143,143,6
144,144,6
145,145,6
146,146,6
147,147,6
148,148,6
149,149,6
150,150,6
151,151,4
152,152,6
153,153,6
154,154,6
155,155,6
156,156,5
157,157,3
158,158,6
159,159,6
160,160,6
161,161,6
162,162,6
163,163,4
164,164,6
165,165,6
166,166,6
167,167,6
168,168,6
169,169,6
170,170,6
171,171,6
172,172,6
173,173,6
174,174,6
175,175,6
176,176,6
177,177,6
178,178,6
179,179,6
180,180,6
181,181,6
182,182,6
183,183,6
184,184,6
185,185,6
186,186,6
187,187,6
188,188,6
189,189,6
190,190,4
191,191,6
192,192,6
193,193,6
194,194,6
195,195,6
196,196,5
197,197,6
198,198,6
199,199,6
200,200,5
201,201,6
202,202,4
203,203,6
204,204,5
205,205,6
206,206,6
207,207,6
208,208,6
209,209,6
210,210,4
211,211,6
212,212,6
213,213,6
214,214,6
215,215,6
216,216,5
217,217,6
218,218,6
219,219,6
220,220,6
221,221,6
222,222,6
223,223,5
224,224,6
225,225,6
226,226,6
227,227,6
228,228,6
229,229,6
230,230,6
231,231,6
232,232,6
233,233,6
234,234,6
235,235,3
236,236,5
237,237,6
238,238,6
239,239,4
240,240,6
241,241,6
242,242,6
243,243,6
244,244,6
245,245,6
246,246,6
247,247,6
248,248,6
249,249,6
250,250,6
251,251,6
252,252,6
253,253,6
254,254,6
255,255,2
256,256,4
257,257,6
258,258,5
259,259,6
260,260,5
261,261,6
262,262,4
263,263,6
264,264,6
265,265,6
266,266,6
267,267,6
268,268,6
269,269,6
270,270,6
271,271,5
272,272,6
273,273,6
274,274,6
275,275,6
276,276,6
277,277,6
278,278,6
279,279,5
280,280,5
281,281,2
282,282,6
283,283,6
284,284,6
285,285,6
286,286,6
287,287,6
288,288,6
289,289,6
290,290,6
291,291,4
292,292,6
293,293,6
294,294,5
295,295,6
296,296,6
297,297,6
298,298,6
299,299,6
300,300,6
301,301,6
302,302,6
303,303,6
304,304,6
305,305,6
306,306,6
307,307,2
308,308,6
309,309,6
310,310,6
311,311,6
312,312,6
313,313,5
314,314,6
315,315,6
316,316,5
317,317,6
318,318,4
319,319,6
320,320,5
321,321,5
322,322,6
323,323,3
324,324,6
325,325,6
326,326,6
327,327,6
328,328,6
329,329,6
330,330,6
331,331,6
332,332,6
333,333,6
334,334,6
335,335,6
336,336,5
337,337,4
338,338,6
339,339,6
340,340,5
341,341,6
342,342,5
343,343,6
344,344,6
345,345,6
346,346,5
347,347,6
348,348,2
349,349,6
350,350,6
351,351,6
352,352,6
353,353,6
354,354,6
355,355,6
356,356,5
357,357,6
358,358,6
359,359,6
360,360,6
361,361,5
362,362,6
363,363,5
364,364,6
365,365,6
366,366,6
367,367,6
368,368,6
369,369,6
370,370,6
371,371,4
372,372,3
373,373,6
374,374,4
375,375,6
376,376,6
377,377,4
378,378,6
379,379,5
380,380,6
381,381,3
382,382,4
383,383,4
384,384,6
385,385,6
386,386,6
387,387,6
388,388,6
389,389,6
390,390,6
391,391,6
392,392,3
393,393,4
394,394,6
395,395,6
396,396,6
397,397,6
398,398,6
399,399,6
400,400,6
401,401,6
402,402,6
403,403,6
404,404,6
405,405,6
406,406,6
407,407,6
408,408,6
409,409,6
410,410,6
411,411,6
412,412,6
413,413,6
414,414,6
415,415,6
416,416,4
417,417,6
418,418,6
419,419,6
420,420,4
421,421,6
422,422,6
423,423,6
424,424,6
425,425,2
426,426,6
427,427,5
428,428,6
429,429,6
430,430,6
431,431,6
432,432,6
433,433,6
434,434,6
435,435,6
436,436,6
437,437,6
438,438,4
439,439,5
440,440,6
441,441,6
442,442,5
443,443,6
444,444,6
445,445,3
446,446,6
447,447,6
448,448,6
449,449,6
450,450,6
451,451,6
452,452,4
453,453,6
454,454,6
455,455,6
456,456,6
457,457,6
458,458,3
459,459,3
460,460,6
461,461,6
462,462,6
463,463,6
464,464,6
465,465,6
466,466,6
467,467,6
